id,age,race,gender,grade90,income96,partner,height,weight,famsize,genhealth,illegalact,charged,jobsnum90,afqt89,typejob90,jobtrain90,income96gt17
101,17,"BLACK","Male","9TH GRADE",0,"No",505,165,11,"Good",0,1,6,1,"busi","No","0"
102,21,"BLACK","Female","12TH GRADE",0.24,"No",503,135,3,"Very Good",0,1,3,7,"manuf","No","0"
103,16,"IRISH","Female","11TH GRADE",1.8,"No",507,160,3,"Very Good",0,0,31,38,"fin","No","1"
104,14,"ITALIAN","Male","3RD YR COL",3.1,"No",511,150,4,"Excellent",0,0,6,29,"fin","No","1"
105,21,"ITALIAN","Female","12TH GRADE",0,"No",502,120,5,"Very Good",0,0,4,42,"pub","No","0"
106,17,"ITALIAN","Male","2ND YR COL",2.45,"Yes",508,150,5,"Very Good",0,0,5,55,"agri","Yes","1"
107,14,"ENGLISH","Male","12TH GRADE",2.65,"No",503,150,5,"Very Good",0,0,7,19,"construction","No","1"
108,17,"GERMAN","Male","12TH GRADE",2.2,"No",509,260,3,"Good",0,0,14,27,"transp","No","1"
109,15,"GERMAN","Male","3RD YR COL",4.95,"No",509,178,6,"Excellent",0,0,5,62,"pub","No","1"
110,17,"GERMAN","Female","1ST YR COL",2.5,"No",505,135,4,"Very Good",0,0,1,63,"manuf","Yes","1"
111,16,"ENGLISH","Female","12TH GRADE",2,"Yes",505,165,8,"Good",0,0,11,46,"retail","Yes","1"
112,20,"ENGLISH","Female","12TH GRADE",2.5,"No",506,145,1,"Excellent",0,0,16,35,"pro","No","1"
113,20,"GERMAN","Male","12TH GRADE",4.1,"No",600,215,1,"Excellent",0,1,6,74,"transp","No","1"
114,21,"ENGLISH","Female","12TH GRADE",1.6763,"No",502,155,3,"Good",0,0,9,79,"pro","Yes","0"
115,16,"GERMAN","Female","2ND YR COL",1.5,"No",504,100,5,"Excellent",0,0,7,85,"pro","No","0"
116,20,"ENGLISH","Male","7TH YR COL",4.3,"No",510,145,6,"Excellent",0,0,16,69,"pro","No","1"
117,17,"ENGLISH","Male","12TH GRADE",1.8,"No",600,160,6,"Good",0,0,15,13,"agri","No","1"
118,16,"GERMAN","Female","3RD YR COL",1.1,"No",505,140,6,"Good",0,0,4,39,"retail","No","0"
